,4.9_rbf_matern32_sin_lfbgs_0_0,4.9_rbf_matern32_sin_lfbgs_1_0,4.9_rbf_matern32_sin_lfbgs_2_0,4.9_rbf_matern32_sin_lfbgs_3_0,4.9_rbf_matern32_sin_lfbgs_4_0
       [-5.44845827e-03],
       [-7.40578979e-03],
       [-3.55956407e-04],
       [-1.26006404e-01],
       [ 8.00116915e-01],
       [ 1.63140300e-01],
       [-5.11309232e-02],
       [ 3.57237835e-02],
       [-6.12991047e-01],
       [-3.39827897e-01],
       [ 6.04553053e-01],
       [ 3.87188560e-01],
       [ 1.59127077e-01],
       [ 4.66357386e-02],
       [ 4.47089677e-02],
       [ 1.44316278e-01],
       [ 9.71888328e-01],
       [-8.54311979e-04],
       [ 4.24498512e-01],
       [-5.93853689e-01],
       [ 3.48484748e-01],
       [ 2.38443976e-02],
       [ 1.30866675e-01],
       [-3.28748501e-03],
       [-9.28303448e-01],
       [-1.09652481e+00],
       [ 6.37746725e-02],
       [ 2.10390120e-01],
       [ 1.02357833e+00],
       [ 6.08526460e-01],
       [-1.03064701e+00],
       [ 4.73450608e-01],
       [-9.19932102e-02],
       [ 6.05476593e-01],
       [ 1.14666856e-01],
       [ 1.59146823e-01],
       [ 5.15678062e-01],
       [-7.69040331e-01],
       [-6.00335651e-01],
       [-7.66437607e-01],
       [-3.42131096e-01],
       [-4.65302790e-01],
       [-8.27373054e-02],
       [ 2.87572404e-03],
       [ 7.88165251e-02],
       [-2.98826578e-01],
       [-1.28860550e-01],
       [ 7.21797842e-01],
       [-1.22245690e-01],
       [-1.30633133e+00],
       [-3.94443188e-01],
       [ 2.07582117e-01],
       [-1.73133173e-02],
       [ 3.62368386e-01],
       [ 2.87410171e-01],
       [ 1.41848338e-01],
       [ 3.79013992e-01],
       [-8.54362185e-01],
       [-1.38561711e+00],
       [ 2.08915179e-01],
       [ 9.59709723e-01],
       [ 1.21108518e-01],
       [-1.73188792e-02],
       [-3.96356258e-02],
       [-1.91769786e-01],
       [-2.39599825e-01],
       [-1.32590031e+00],
       [ 4.78073262e-03],
       [-3.24938974e-01],
       [-3.25500381e-01],
       [-3.95197316e-01],
       [-7.62594069e-03],
       [-1.02238934e+00],
       [ 2.93668721e-01],
       [ 2.15479081e-01],
       [ 1.16728499e-02],
       [-4.85765723e-01],
       [-1.17368288e-01],
       [ 2.49456761e-01],
       [ 2.76409944e-01],
       [-5.44271255e-03],
       [ 4.07380368e-01],
       [-5.65732056e-01],
       [-5.64944196e-01],
       [ 5.99150286e-02],
       [ 3.60425620e-02],
       [-1.03028922e-01],
       [-2.33282129e-04],
       [ 5.63069652e-01],
       [ 6.07934239e-01],
       [ 2.67453505e-01],
       [ 6.54845457e-01],
       [-7.31945093e-02],
       [-4.07635921e-01],
       [-1.73234669e-02],
       [-9.85958119e-02],
       [-2.33093918e-01],
       [ 2.06274129e-01],
       [ 3.46631769e-01],
       [ 2.70528939e-01],
       [-1.54647556e-01],
       [ 1.96906255e-01],
       [-2.20226826e-01],
       [ 1.14905544e-02],
       [-4.92936377e-01],
       [-9.76421381e-02],
       [-5.69459822e-01],
       [ 4.78229886e-01],
       [-2.89381141e-01],
       [-1.52294268e-01],
       [-1.43532421e-01],
       [-1.90687444e-02],
       [ 3.38785624e-01],
       [ 4.72106365e-01],
       [ 4.92465976e-01],
       [ 4.07107573e-03],
       [-2.68775289e-01],
       [ 1.54147667e-01],
       [-1.53442702e-03],
       [ 2.94291103e-01],
       [ 2.88428955e-03],
       [-1.22962894e-01],
       [ 7.74334763e-01],
       [ 1.02073085e-01],
       [ 5.07387487e-03],
       [ 2.67462440e-01],
       [ 3.43826552e-01],
       [-9.96893206e-02],
       [-5.87536234e-01],
       [ 4.01596837e-01],
       [-1.63357401e-02],
       [-6.72337209e-01],
       [ 1.97029178e-01],
       [ 1.00649693e+00],
       [-5.77019073e-01],
       [-5.33351185e-01],
       [-6.72869169e-01],
       [ 1.59868173e-01],
       [-1.65647230e-01],
       [-3.58595113e-01],
       [-2.56660866e-02],
       [ 3.50807585e-01],
       [ 2.01078967e-01],
       [-1.08464488e+00],
       [ 6.68747451e-02],
       [-2.62034267e-01],
       [ 1.27726752e-02],
       [-2.18720211e-01],
       [-3.58957326e-01],
       [-9.69066352e-02],
       [-4.60226425e-01],
       [-6.61688825e-02],
       [ 8.25963197e-01],
       [-9.24630293e-02],
       [ 2.56439840e-01],
       [ 5.88466066e-02],
       [-3.87747060e-02],
       [-4.08872038e-01],
       [-8.64908201e-01],
       [-4.18795680e-01],
       [-7.26673504e-01],
       [-3.40391677e-01],
       [ 7.44839563e-01],
       [-4.54982684e-01],
       [ 9.27676300e-02],
       [ 3.92294324e-02],
       [ 1.64133160e-01],
       [ 3.70564535e-01],
       [ 3.53188841e-01],
       [ 1.82471034e-01],
       [ 7.50034743e-02],
       [-1.29812821e-01],
       [-5.09106948e-01],
       [ 1.90395888e-01],
       [-5.43819578e-01],
       [ 4.58203011e-01],
       [ 4.17285930e-02],
       [-6.76679366e-01],
       [ 2.93717655e-01],
       [-3.15146422e-01],
       [ 2.94036816e-02],
       [-2.98720443e-01],
       [ 4.05775136e-01],
       [-4.36004344e-01],
       [ 9.73334571e-02],
       [-2.62077805e-01],
       [-2.47069153e-01],
       [-1.08631505e-01],
       [ 5.22345393e-01],
       [ 1.64632539e-01],
       [-3.17130520e-02],
       [ 4.17579368e-01],
       [ 9.07967917e-01],
       [ 6.33216324e-03],
       [ 6.39640914e-02],
       [-3.34929995e-01],
       [ 1.24094683e-01],
       [-7.56692068e-01],
       [ 9.67421862e-03],
       [-2.71018688e-02],
       [-2.40670795e-01],
       [-5.20131316e-01],
       [-1.01938309e+00],
       [-9.02754576e-03],
       [ 3.87814104e-02],
       [-6.97674286e-03],
       [ 1.48065110e-01],
       [-6.00869662e-01],
       [ 3.36498782e-01],
       [ 3.67037960e-02],
       [ 2.22055272e-03],
       [-8.80241669e-02],
       [ 1.33379558e-01],
       [-2.35721487e-01],
       [ 1.41798468e-01],
       [-5.68441467e-01],
       [-2.85688861e-02],
       [ 5.98553575e-02],
       [ 2.84747595e-01],
       [-8.52450693e-02],
       [ 1.82994586e+00],
       [-5.82045274e-05],
       [ 2.61592675e-01],
       [ 1.17187135e-02],
       [-3.34780809e-02],
       [ 4.29991446e-04],
       [-9.15416511e-02],
       [-7.05721282e-01],
       [-1.02209799e-01],
       [-3.30171414e-01],
       [-1.17185385e+00],
       [-6.36090176e-02],
       [-1.81822660e-01],
       [-5.17335755e-02],
       [-5.28959104e-01],
       [ 2.00823692e-01],
       [ 5.93830921e-01],
       [ 6.15578749e-02],
       [-1.97862393e-02],
       [ 1.48557293e+00],
       [ 6.86279908e-03],
       [ 1.35024237e-01],
       [ 8.04231984e-02],
       [-7.79750114e-03],
       [-2.89300919e-01],
       [-7.44640889e-01],
       [-7.80442672e-01],
       [-1.62902486e+00],
       [ 6.59479364e-01],
       [-7.21192837e-02],
       [-4.54969075e-01],
       [-4.88907337e-01],
       [-4.03663796e-02],
       [-2.30234658e-01],
       [-1.69410823e-01],
       [ 1.55011250e-01],
       [ 8.72902769e-01],
       [-8.10910613e-01],
       [ 4.75494062e-01],
       [ 5.67316440e-01],
       [-5.02809843e-02],
       [ 1.73523985e-02],
       [-4.17796008e-02],
       [-5.22741408e-01],
       [-1.47465113e-03],
       [-9.00350987e-01],
       [ 2.74733558e-02],
       [ 2.98111263e-01],
       [ 9.37087210e-03],
       [-3.93260857e-01],
       [-7.28295014e-03],
       [ 1.61953401e-01],
       [-3.72523531e-01],
       [-2.87793051e-02],
       [ 3.86521666e-01],
       [-1.04263660e-01],
       [-3.87319585e-01],
       [-1.64390990e-01],
       [ 3.05425545e-01],
       [ 2.36343885e-01],
       [ 3.26552360e-01],
       [ 1.15774767e-01],
       [ 3.96465361e-01],
       [ 8.49582781e-02],
       [ 2.16299804e-01],
       [-2.46412431e-03],
       [ 5.18065086e-01],
       [-3.63070893e-01],
       [ 3.36618986e-01],
       [-8.74676060e-04],
       [-1.81449531e-01],
       [ 1.04735402e-01],
       [-7.82054070e-02],
       [-9.17688867e-01],
       [-2.17643466e-02],
       [-8.46054892e-01],
       [-8.72201812e-02],
       [-1.44500944e-03],
       [-6.17432376e-01],
       [-1.28509148e-02],
       [-4.22936428e-02],
       [ 5.15111825e-01],
       [-2.14094629e-02],
       [ 2.60918306e-01],
       [-8.56256011e-01],
       [ 2.50473403e-01],
       [ 5.35290411e-01],
       [ 3.70239440e-02],
       [ 2.42271758e-01],
       [-2.36507860e-01],
       [-5.31936774e-02],
       [-2.35089045e-01],
       [-1.02777690e-01],
       [-5.21013965e-02],
       [-4.09954519e-02],
       [ 8.41816460e-01],
       [-2.03483493e-02],
       [ 8.86944243e-01],
       [-2.02547048e-02],
       [-1.10600709e-01],
       [ 2.05285864e-01],
       [-2.19008925e-03],
       [-9.42943128e-02],
       [-5.46347208e-01],
       [ 1.83983086e-01],
       [ 9.90802973e-03],
       [ 5.60546958e-02],
       [-1.10252962e-01],
       [ 6.41290206e-01],
       [ 1.20456851e-02],
       [ 3.73476529e-01],
       [ 4.37458850e-04],
       [ 4.25048411e-01],
       [ 2.26037439e-01],
       [-1.95183011e-01],
       [-2.45949646e-01],
       [-4.53596463e-01],
       [-3.39794837e-01],
       [ 6.24229169e-03],
       [-8.00717082e-02],
       [ 1.01690762e-01],
       [-2.58143655e-02],
       [ 3.40205619e-01],
       [-2.13271585e-01],
       [-1.30708484e-01],
       [-2.93113080e-03],
       [ 5.25535180e-01],
       [ 6.75296657e-01],
       [-5.76451221e-01],
       [-3.87490810e-03],
       [-5.82352326e-02],
       [ 1.21279657e-01],
       [-7.26813767e-01],
       [ 3.97445643e-01],
       [ 5.70063965e-02],
       [-1.29757511e-01],
       [-3.11132229e-02],
       [ 7.88769685e-02],
       [-1.60724273e-01],
       [ 1.85673918e-01],
       [ 7.18185646e-01],
       [ 7.20851100e-01],
       [ 1.63125849e-02],
       [ 2.66980367e-01],
       [-8.23582416e-01],
       [-3.90046823e-01],
       [ 9.23975660e-01],
       [-3.95613501e-02],
       [-1.05966172e-01],
       [ 8.33717178e-01],
       [ 6.26862951e-01],
       [-3.73888147e-01],
       [ 2.80953945e-01],
       [-3.09580441e-01],
       [ 5.02768745e-01],
       [ 4.71337604e-02],
       [ 1.37930231e-01],
       [-3.77777197e-01],
       [-6.52325137e-02],
       [ 8.87564030e-01],
       [ 7.37911522e-01],
       [ 5.84555687e-01],
       [ 3.44634655e-01],
       [-4.05751234e-01],
       [-2.76384375e-01],
       [-2.51485450e-01],
       [-4.87294401e-02],
       [ 1.10479227e+00],
       [-1.32187420e-01],
       [-3.36080463e-01],
       [-5.07750813e-01],
       [ 1.25272506e-01],
       [ 4.45958177e-02],
       [ 1.48000514e-01],
       [-5.05703168e-03],
       [-2.34032774e-04],
       [ 1.03896427e-01],
       [ 1.14145818e-02],
       [-5.69726340e-01],
       [ 2.55446838e-02],
       [-7.36412228e-03],
       [-5.60228065e-02],
       [-3.72677107e-01],
       [-3.33534274e-01],
       [-1.28723093e+00],
       [-9.65383608e-02],
       [ 3.26432960e-01],
       [ 5.97906973e-02],
       [ 2.55180747e-01]])>","<Parameter: name=identity, dtype=float64, shape=[1000, 1], fn=""identity"", numpy=
array([[-7.18566665e-02],
       [-1.08396463e-01],
       [-9.84446105e-02],
       [-1.01091805e-01],
       [-9.78972021e-01],
       [ 6.03734354e-01],
       [ 1.09651373e+00],
       [-9.78433666e-01],
       [ 7.02878920e-01],
       [-2.99759317e-01],
       [-3.54239195e-01],
       [-6.54415127e-01],
       [-8.12437967e-01],
       [-2.80397213e-01],
       [ 4.49370413e-01],
       [ 6.90480392e-02],
       [-1.11830907e+00],
       [-1.75537328e-01],
       [ 4.71825506e-01],
       [ 6.63926566e-01],
       [-5.12471100e-01],
       [ 6.06268456e-01],
       [-3.49723950e-02],
       [ 5.72981986e-02],
       [-8.24906933e-01],
       [-5.52619896e-01],
       [-9.71885264e-02],
       [-5.67292602e-01],
       [ 2.46387440e-01],
       [ 3.24984981e-01],
       [ 3.15313857e-01],
       [-6.26946380e-01],
       [ 3.02232340e-01],
       [ 8.09552160e-02],
       [-1.63317163e-01],
       [-4.30916733e-01],
       [-3.68083011e-01],
       [-5.99131698e-02],
       [-1.95500898e-01],
       [-8.85576242e-01],
       [ 2.98139819e-01],
       [ 3.40067657e-01],
       [-3.25833864e-01],
       [ 1.01110051e+00],
       [-2.43764137e-01],
       [ 7.92669724e-01],
       [-2.24698139e-01],
       [ 7.54028702e-01],
       [ 1.54488520e-01],
       [ 9.35508247e-01],
       [-2.14100346e-01],
       [ 4.37131591e-01],
       [-1.94634021e-01],
       [ 2.36896227e-01],
       [-7.21812475e-01],
       [-1.99017903e-01],
       [ 1.05948360e-01],
       [ 8.09547448e-01],
       [ 3.61151219e-01],
       [ 2.56963428e-01],
       [-5.43017209e-01],
       [ 5.26822118e-01],
       [ 3.47406851e-01],
       [ 3.08409565e-01],
       [-4.84583052e-01],
       [-1.42562144e-01],
       [ 6.29593462e-01],
       [-4.99994251e-01],
       [ 5.31925703e-01],
       [ 8.92736307e-01],
       [-4.26031387e-02],
       [-1.76050958e+00],
       [-7.70219207e-01],
       [ 4.71332075e-01],
       [ 3.28932686e-01],
       [-4.72175285e-01],
       [ 2.44047280e-01],
       [ 7.92525326e-01],
       [ 5.29370469e-01],
       [-2.89783519e-01],
       [-4.46358702e-01],
       [-3.88136986e-01],
       [ 9.72746777e-02],
       [ 3.66481359e-01],
       [ 4.90195141e-02],
       [ 6.72725564e-01],
       [ 5.76756016e-01],
       [-5.30544275e-01],
       [-4.68236362e-01],
       [ 2.06862896e-01],
       [-5.07086397e-01],
       [ 5.90236220e-01],
       [-5.22372788e-02],
       [ 8.70130130e-02],
       [-4.65229028e-01],
       [-2.77982786e-01],
       [-2.68919863e-01],
       [ 5.59053498e-01],
       [-6.75889933e-01],
       [ 3.76525944e-01],
       [ 6.53714610e-01],
       [-3.87606182e-01],
       [ 1.71457046e-01],
       [ 4.58416363e-01],
       [-3.68464049e-01],
       [ 4.43016600e-01],
       [ 5.87143143e-01],
       [ 9.43905533e-01],
       [ 8.42561471e-03],
       [ 3.86070421e-01],
       [-3.18939212e-01],
       [ 4.67648703e-01],
       [ 9.08966326e-02],
       [-8.63470826e-01],
       [-1.05648103e+00],
       [ 3.01984190e-01],
       [ 5.05305665e-01],
       [ 2.86788812e-01],
       [ 1.87514414e-01],
       [-3.92529507e-01],
       [ 2.17844305e-01],
       [ 3.89138198e-01],
       [-1.73350480e-01],
       [ 5.58729646e-01],
       [-4.83944588e-02],
       [ 1.41840561e+00],
       [ 7.12580343e-01],
       [ 2.36926381e-01],
       [-4.99231409e-01],
       [ 5.95530361e-01],
       [ 4.70266188e-01],
       [-1.39573513e-01],
       [ 8.33350464e-01],
       [ 4.89423406e-01],
       [-7.37518841e-01],
       [-1.61399259e-01],
       [ 1.75967597e-02],
       [-7.13778481e-01],
       [ 5.32167822e-01],
       [-2.43076442e-01],
       [-3.06777881e-01],
       [-5.92184685e-01],
       [-5.74061300e-01],
       [ 8.41116359e-01],
       [-6.04793208e-01],
       [-2.88730899e-01],
       [-1.40176145e+00],
       [ 4.80210985e-01],
       [-8.55856449e-03],
       [-7.16674248e-01],
       [-6.79970833e-01],
       [-6.74306750e-02],
       [ 4.91022808e-01],
       [ 5.92426086e-02],
       [-1.05769833e-01],
       [-5.13177767e-02],
       [ 4.34015074e-01],
       [ 1.63195907e-01],
       [-3.57213513e-01],
       [ 6.62808977e-01],
       [-6.50985485e-01],
       [-6.21845410e-01],
       [ 3.46925917e-01],
       [-1.71843076e-01],
       [ 5.38584874e-01],
       [-1.74544927e-01],
       [-8.09018593e-03],
       [-2.15248101e-01],
       [ 4.18017116e-02],
       [ 4.19245062e-01],
       [ 1.49647522e-02],
       [-3.63302640e-01],
       [-1.77678598e-01],
       [-1.73519830e-01],
       [ 9.00002382e-01],
       [ 3.28086158e-02],
       [ 3.05580795e-01],
       [-2.36022844e-01],
       [ 3.36709560e-01],
       [ 1.47057314e-01],
       [-4.72649782e-01],
       [-5.77825598e-01],
       [ 4.10142452e-01],
       [ 7.08289185e-02],
       [-2.83120969e-01],
       [-1.14402250e-01],
       [ 5.29706092e-01],
       [ 2.47568442e-01],
       [-5.85946724e-01],
       [-4.05885029e-01],
       [ 1.11711995e-01],
       [-6.67157262e-01],
       [-3.62844046e-01],
       [-2.36943804e-02],
       [ 1.01180588e-01],
       [-3.20749061e-02],
       [-3.57573199e-01],
       [ 3.93149068e-01],
       [-3.24187140e-01],
       [ 5.57224398e-01],
       [ 8.19497034e-01],
       [-6.80733172e-02],
       [-1.14523781e-01],
       [-1.93504602e-01],
       [ 1.56513093e-02],
       [-3.94516203e-02],
       [ 9.15626556e-01],
       [-6.98181484e-01],
       [-3.45900699e-01],
       [-3.03470329e-01],
       [-2.48996578e-01],
       [ 5.70869830e-01],
       [-1.66239618e-02],
       [ 1.43412853e-02],
       [ 4.91182024e-01],
       [-1.96464966e-01],
       [-1.00829968e+00],
       [ 1.20040974e+00],
       [ 2.44186757e-01],
       [-1.30387371e-01],
       [-5.31663532e-01],
       [ 1.10603019e-01],
       [ 6.96293123e-01],
       [-8.24117216e-01],
       [-2.43754175e-01],
       [ 5.34704119e-01],
       [-2.23327400e-01],
       [ 1.00767149e+00],
       [ 4.00959442e-02],
       [ 3.58205487e-01],
       [ 3.56086305e-01],
       [ 6.21678133e-03],
       [-8.16527184e-02],
       [ 3.93358452e-01],
       [-1.22111417e+00],
       [-1.41605286e-01],
       [-3.51009907e-01],
       [ 6.49459259e-01],
       [-6.27786362e-01],
       [-2.51427304e-02],
       [ 3.00510047e-01],
       [ 4.13100100e-01],
       [ 2.53376324e-01],
       [-2.09088392e-01],
       [-4.22602574e-01],
       [ 6.39014302e-02],
       [-2.29963805e-01],
       [-6.60277747e-01],
       [ 5.18836576e-02],
       [ 5.50858428e-02],
       [ 9.53272109e-01],
       [ 5.82244111e-01],
       [-5.78093474e-01],
       [ 3.05043906e-01],
       [ 1.20132212e+00],
       [ 1.11627114e-01],
       [-1.67642286e-03],
       [-6.62835271e-01],
       [ 2.24730483e-03],
       [-1.43233853e-01],
       [-4.75967775e-02],
       [-8.56520827e-01],
       [ 2.00407272e-02],
       [ 5.53316063e-01],
       [ 1.24617444e-01],
       [-3.19262549e-01],
       [-2.71664390e-01],
       [-1.58646591e-01],
       [-2.29052079e-01],
       [ 5.93239564e-01],
       [ 8.31720755e-02],
       [ 5.97377339e-01],
       [ 1.68656817e-02],
       [-1.03797993e+00],
       [-7.71679046e-01],
       [-1.50858772e-01],
       [-7.46700345e-01],
       [ 4.74615473e-01],
       [-1.21734288e-01],
       [ 3.12297990e-01],
       [-1.54364185e-01],
       [ 9.36655844e-01],
       [ 1.21696354e+00],
       [ 1.14915937e-01],
       [-1.32081780e-01],
       [-1.59356904e-01],
       [-2.00164136e-01],
       [-1.17652684e+00],
       [ 6.04378596e-02],
       [ 5.35438055e-02],
       [-4.71916373e-01],
       [-1.04852382e-01],
       [-3.90872388e-01],
       [ 1.08023386e+00],
       [-8.47032756e-01],
       [-4.86921744e-01],
       [ 4.35860790e-01],
       [ 1.71489619e-01],
       [-6.88802402e-01],
       [ 7.82157736e-01],
       [ 5.65240027e-01],
       [-1.94261039e-02],
       [-1.41131274e-01],
       [-4.56820476e-01],
       [ 4.27613427e-01],
       [ 1.89151560e-01],
       [ 2.55142115e-01],
       [-5.43663551e-02],
       [ 1.47465276e-01],
       [-3.23747924e-01],
       [ 8.87371714e-01],
       [-1.18177890e+00],
       [ 9.49253689e-02],
       [ 2.07666596e-01],
       [ 5.71470242e-01],
       [-1.57356610e-01],
       [ 1.31950833e-01],
       [ 2.72131697e-01],
       [ 3.67040050e-01],
       [ 1.27126762e-01],
       [-1.30514978e-01],
       [ 3.93730983e-01],
       [-2.67996505e-01],
       [-7.01444206e-02],
       [ 9.49888756e-01],
       [ 2.94105311e-01],
       [-1.03601853e-01],
       [ 6.19538234e-01],
       [-6.21421692e-01],
       [-1.07843722e+00],
       [-2.64789553e-01],
       [-3.22141457e-01],
       [ 4.31887368e-01],
       [ 3.47669655e-01],
       [-6.51227121e-01],
       [-8.99876525e-01],
       [-3.64075580e-03],
       [-4.28420775e-02],
       [ 2.21082985e-01],
       [ 1.96275316e-01],
       [-3.87302337e-02],
       [-1.41316730e-01],
       [ 4.27729163e-01],
       [ 3.53172334e-01],
       [ 5.59224766e-01],
       [ 1.71417967e-01],
       [-7.70155358e-02],
       [-3.20718460e-01],
       [-6.63906884e-01],
       [-2.98944686e-01],
       [ 3.47647609e-02],
       [-4.84062974e-01],
       [-3.97375688e-01],
       [ 6.29230577e-01],
       [-1.89095139e+00],
       [-3.47478051e-02],
       [ 3.03479416e-02],
       [ 3.42248380e-02],
       [ 7.51978954e-02],
       [ 2.22347341e-01],
       [-5.33515633e-01],
       [-1.62081722e-01],
       [-9.71542210e-04],
       [ 2.58851879e-01],
       [ 3.43029273e-01],
       [-5.77559366e-01],
       [ 2.14776363e-01],
       [ 5.75696812e-01],
       [-1.25034907e+00],
       [ 5.59853882e-02],
       [-1.36848469e+00],
       [-3.16196951e-01],
       [-1.44999315e+00],
       [ 7.11213150e-01],
       [ 3.88262507e-01],
       [-1.44785657e-01],
       [-2.96824055e-01],
       [ 1.76420840e-01],
       [-2.17508210e-01],
       [ 2.81907262e-01],
       [ 1.28262203e-03],
       [ 3.84432375e-01],
       [-9.84210159e-01],
       [ 1.49737987e-01],
       [ 8.81821335e-02],
       [-5.54039982e-01],
       [-4.32555724e-01],
       [-1.61856542e-01],
       [ 7.82743347e-01],
       [-6.95920631e-02],
       [ 1.02101378e+00],
       [-1.41084852e-01],
       [-3.57437093e-02],
       [-3.36698078e-02],
       [-2.47600381e-01],
       [ 1.56547063e-01],
       [ 3.27855802e-01],
       [ 4.38052174e-01],
       [-1.28376489e-01],
       [ 6.26004024e-01],
       [-1.48416463e+00],
       [ 1.15335090e+00],
       [ 4.45793156e-01],
       [ 1.43150837e-01],
       [-7.23363919e-01],
       [ 1.98367871e-01],
       [-6.34336457e-02],
       [-4.10932173e-01],
       [-1.03928150e-01],
       [-1.95695914e-01],
       [ 5.12719788e-01],
       [ 3.30245421e-01],
       [ 2.21838869e-01],
       [-3.63106113e-01],
       [-2.03775257e-02],
       [ 1.17826671e+00],
       [-9.36408722e-01],
       [-4.20015500e-01],
       [ 1.26748924e-01],
       [ 5.24799917e-01],
       [-4.74527540e-01],
       [-3.08867504e-01],
       [-2.42817037e-01],
       [ 6.69723800e-01],
       [-2.51782553e-01],
       [ 4.95037868e-01],
       [ 6.26837944e-01],
       [-7.78576959e-01],
       [ 2.64935276e-02],
       [ 1.52253502e-02],
       [-3.36279766e-02],
       [-3.74831570e-02],
       [ 1.75231940e-01],
       [-3.10179374e-01],
       [ 4.82998783e-01],
       [-1.02257476e+00],
       [-1.44377055e-01],
       [-1.34936141e-01],
       [-3.61864387e-01],
       [-2.66419532e-02],
       [ 9.10249729e-01],
       [ 1.06234502e-01],
       [ 5.96408133e-01],
       [ 3.42598217e-01],
       [ 5.68688683e-01],
       [-1.05343634e+00],
       [-7.15951657e-02],
       [ 1.75809667e-01],
       [ 8.50829445e-01],
       [ 6.15094146e-02],
       [ 4.75542179e-01],
       [ 4.38805657e-01],
       [ 9.25028225e-02],
       [-1.40455385e-02],
       [ 2.97648928e-01],
       [-4.29253112e-02],
       [ 6.01093053e-01],
       [-8.87893194e-02],
       [ 1.21088348e-01],
       [-2.08101789e-01],
       [-1.93254549e-02],
       [ 2.19157961e-01],
       [-3.38675931e-02],
       [ 2.82445365e-02],
       [ 2.39410052e-01],
       [ 2.92156356e-01],
       [ 6.22512442e-03],
       [-2.23859454e-01],
       [-3.94326023e-01],
       [ 2.12485206e-01],
       [-8.44415085e-01],
       [ 1.79171056e+00],
       [-5.58206735e-02],
       [-1.73334104e-02],
       [ 2.89897403e-02],
       [ 9.54156425e-01],
       [-5.16369104e-01],
       [ 2.75583794e-01],
       [ 4.85583702e-02],
       [ 3.37633312e-01],
       [-6.55286359e-01],
       [-3.74354583e-02],
       [ 4.20362506e-02],
       [ 8.86166290e-01],
       [-4.42228137e-01],
       [-8.40487522e-02],
       [-7.73354198e-01],
       [-4.44783514e-01],
       [ 8.33605567e-01],
       [ 2.21683989e-01],
       [ 8.29689553e-01],
       [-5.43268124e-02],
       [-3.94267506e-01],
       [ 9.77995985e-01],
       [ 4.27805713e-01],
       [ 8.98739911e-01],
       [ 3.59178187e-02],
       [ 1.38152334e-01],
       [ 1.38561529e-02],
       [ 2.76962276e-01],
       [ 2.03972063e-01],
       [-1.88624983e-01],
       [-5.85633178e-03],
       [-1.77151533e-01],
       [ 3.96511637e-02],
       [ 1.47618723e+00],
       [-3.89213064e-03],
       [ 6.93108576e-01],
       [ 3.04440523e-01],
       [-3.17584513e-02],
       [ 6.77150765e-01],
       [-5.88480741e-01],
       [-9.30360670e-01],
       [ 1.46702920e-01],
       [-1.03081875e-01],
       [ 2.92993060e-02],
       [ 1.13423699e+00],
       [ 5.50526787e-01],
       [ 3.80633105e-01],
       [-9.13395024e-01],
       [ 4.17089558e-03],
       [ 9.36811313e-01],
       [ 1.44616526e-01],
       [-2.88642420e-01],
       [-3.41386805e-01],
       [ 1.23843523e-01],
       [-2.68559889e-01],
       [-3.73714965e-01],
       [ 1.03685126e-01],
       [-5.53850118e-01],
       [-6.30513429e-02],
       [ 2.02660504e-01],
       [-4.03558032e-01],
       [-1.15868400e+00],
       [ 9.96263340e-01],
       [ 3.53597828e-02],
       [ 6.52783953e-02],
       [ 5.53952234e-03],
       [ 1.87576915e-03],
       [ 3.73393617e-01],
       [-5.04043035e-01],
       [-2.35518378e-01],
       [ 9.49096668e-01],
       [-2.77073493e-02],
       [-5.36919259e-02],
       [ 8.28695783e-02],
       [ 8.04234087e-01],
       [-2.03835006e-01],
       [ 6.04600544e-01],
       [-3.75470732e-01],
       [-3.82683866e-01],
       [ 2.96731466e-01],
       [-3.09166820e-01],
       [-3.90237818e-02],
       [ 1.73300922e-01],
       [ 1.26692973e+00],
       [ 2.88116747e-01],
       [ 3.42957894e-01],
       [-6.75491040e-01],
       [-7.61528515e-01],
       [ 7.12214770e-01],
       [-8.68092847e-01],
       [-3.88034285e-01],
       [-2.28875965e-01],
       [ 2.15728467e-01],
       [-6.69635500e-02],
       [-1.10705648e-01],
       [-4.91886839e-02],
       [ 2.41397120e-01],
       [ 6.82553488e-01],
       [-2.82841784e-01],
       [-1.18854447e-01],
       [-2.32588384e-01],
       [-4.38253077e-03],
       [-4.48620050e-01],
       [-2.56792539e-02],
       [ 3.61354516e-02],
       [-3.86966330e-01],
       [ 1.48009270e-01],
       [ 1.17204896e+00],
       [-4.84774509e-02],
       [ 2.63152254e-01],
       [-1.03401419e+00],
       [ 2.85804450e-01],
       [-3.20942850e-01],
       [-2.13294586e-01],
       [ 3.01372227e-01],
       [ 3.81035559e-01],
       [-4.25324856e-01],
       [ 3.54396763e-01],
       [ 2.19205015e-02],
       [-7.07960039e-01],
       [-7.26053264e-01],
       [ 8.91391799e-02],
       [-1.67418633e-01],
       [-9.72132622e-02],
       [ 9.85708866e-02],
       [ 8.66588034e-02],
       [ 7.48639681e-02],
       [ 3.89510019e-01],
       [ 2.44586405e-01],
       [-1.65381542e-01],
       [-2.27055922e-02],
       [ 3.81839903e-01],
       [-8.36775397e-01],
       [ 1.86258344e-01],
       [ 3.76241728e-01],
       [ 1.81247652e-01],
       [ 1.91671807e-01],
       [-5.53762376e-03],
       [ 3.31121163e-02],
       [-3.51243149e-01],
       [-2.52786863e-02],
       [-7.08717474e-02],
       [ 1.12216795e-01],
       [ 1.94549741e-01],
